seq84	seq84	100.000	282	282	282	1.000	1.000	2.926E-182	555
seq84	seq103	56.100	278	282	216	0.986	0.995	5.576E-83	269
seq84	seq182	37.500	274	282	228	0.972	0.925	9.741E-51	175
seq84	seq79	32.000	279	282	247	0.989	0.988	3.714E-34	126
seq84	seq96	29.800	279	282	193	0.989	0.990	1.290E-31	119
seq84	seq181	30.400	276	282	267	0.979	0.910	9.487E-30	113
seq84	seq32	30.100	281	282	323	0.989	0.870	1.725E-27	107
seq84	seq75	39.600	61	282	617	0.216	0.096	4.964E-07	44
seq84	seq145	32.300	98	282	588	0.344	0.167	2.059E-06	42
seq84	seq29	29.800	75	282	267	0.252	0.281	1.089E-04	36
seq84	seq89	33.300	85	282	476	0.298	0.179	3.375E-04	35
seq55	seq55	100.000	232	232	232	1.000	1.000	2.292E-148	454
seq55	seq57	79.000	210	232	232	0.905	0.905	5.618E-108	338
seq55	seq56	63.100	258	232	277	0.918	0.931	3.633E-97	307
seq55	seq59	58.300	208	232	248	0.897	0.823	6.410E-74	240
seq55	seq107	31.100	77	232	464	0.332	0.153	4.375E-06	40
seq88	seq87	100.000	356	356	356	1.000	1.000	4.293E-235	712
seq88	seq88	100.000	356	356	356	1.000	1.000	4.293E-235	712
seq88	seq95	81.000	356	356	335	1.000	1.000	1.863E-178	548
seq88	seq94	72.000	350	356	318	0.983	0.978	4.503E-152	472
seq88	seq104	66.200	354	356	339	0.994	0.994	3.500E-137	429
seq88	seq107	28.600	407	356	464	0.921	0.877	4.325E-38	141
seq91	seq91	100.000	530	530	530	1.000	1.000	0.000E+00	1034
seq91	seq92	100.000	530	530	530	1.000	1.000	0.000E+00	1034
seq91	seq179	27.200	473	530	542	0.892	0.860	2.395E-43	161
seq91	seq198	27.100	467	530	558	0.866	0.837	7.646E-38	144
seq91	seq169	27.100	467	530	589	0.866	0.793	1.025E-37	144
seq91	seq189	30.900	367	530	352	0.692	0.909	6.301E-35	135
seq91	seq126	26.800	182	530	307	0.343	0.518	2.010E-04	37
seq62	seq62	100.000	281	281	281	1.000	1.000	5.388E-179	546
seq62	seq188	26.000	236	281	356	0.719	0.663	1.546E-12	61
seq62	seq10	32.100	87	281	170	0.310	0.500	4.954E-12	60
seq62	seq29	25.000	188	281	267	0.669	0.644	9.062E-10	53
seq62	seq122	29.300	75	281	145	0.267	0.503	2.863E-09	51
seq62	seq141	32.400	76	281	210	0.270	0.352	2.863E-09	51
seq62	seq97	24.200	188	281	375	0.669	0.443	2.863E-09	51
seq62	seq108	25.500	186	281	238	0.662	0.723	9.025E-09	49
seq62	seq162	24.200	226	281	325	0.722	0.695	1.601E-08	49
seq62	seq163	24.200	226	281	325	0.722	0.695	1.601E-08	49
seq62	seq164	24.200	226	281	325	0.722	0.695	1.601E-08	49
seq62	seq165	24.200	226	281	325	0.722	0.695	1.601E-08	49
seq62	seq166	24.200	226	281	325	0.722	0.695	1.601E-08	49
seq62	seq129	29.500	71	281	378	0.253	0.183	2.132E-08	48
seq62	seq98	35.100	72	281	350	0.256	0.203	3.778E-08	48
seq62	seq120	26.600	75	281	131	0.267	0.557	5.028E-08	47
seq62	seq119	25.300	75	281	131	0.267	0.557	8.904E-08	46
seq62	seq75	28.400	93	281	617	0.310	0.151	8.904E-08	46
seq62	seq105	33.600	90	281	230	0.320	0.378	2.096E-07	45
seq62	seq106	33.600	90	281	362	0.320	0.240	2.096E-07	45
seq62	seq157	30.400	69	281	226	0.246	0.296	2.788E-07	45
seq62	seq156	30.400	69	281	226	0.246	0.296	3.707E-07	44
seq62	seq73	26.000	69	281	236	0.246	0.284	2.717E-06	42
seq62	seq187	24.000	82	281	456	0.292	0.178	2.717E-06	42
seq62	seq24	28.700	92	281	153	0.327	0.601	4.795E-06	41
seq62	seq194	29.500	108	281	240	0.367	0.450	4.795E-06	41
seq62	seq14	25.800	62	281	246	0.221	0.244	4.795E-06	41
seq62	seq69	28.500	77	281	260	0.274	0.285	4.795E-06	41
seq62	seq118	27.500	69	281	248	0.246	0.270	6.369E-06	40
seq62	seq7	21.000	95	281	258	0.338	0.360	6.369E-06	40
seq62	seq83	27.300	73	281	90	0.260	0.789	1.492E-05	39
