seq57104	seq57104	100.000	38	38	38	1.000	1.000	2.657E-16	70
seq57136	seq57136	100.000	35	35	35	1.000	1.000	1.339E-14	64
seq57168	seq57168	100.000	38	38	38	1.000	1.000	2.657E-16	70
seq57200	seq57200	100.000	30	30	30	1.000	1.000	9.214E-12	55
seq57232	seq57232	100.000	38	38	38	1.000	1.000	2.657E-16	70
seq57264	seq57264	100.000	38	38	38	1.000	1.000	2.657E-16	70
seq57296	seq57296	100.000	35	35	35	1.000	1.000	1.339E-14	64
seq57328	seq57328	100.000	35	35	35	1.000	1.000	1.339E-14	64
seq57360	seq57360	100.000	38	38	38	1.000	1.000	2.657E-16	70
seq57392	seq57392	100.000	38	38	38	1.000	1.000	2.657E-16	70
seq37723	seq37723	100.000	38	38	38	1.000	1.000	2.657E-16	70
seq37755	seq37755	100.000	38	38	38	1.000	1.000	2.657E-16	70
seq37787	seq37787	100.000	35	35	35	1.000	1.000	1.339E-14	64
seq37819	seq37819	100.000	38	38	38	1.000	1.000	2.657E-16	70
seq37851	seq37851	100.000	38	38	38	1.000	1.000	2.657E-16	70
seq37883	seq37883	100.000	38	38	38	1.000	1.000	2.657E-16	70
seq37915	seq37915	100.000	38	38	38	1.000	1.000	2.657E-16	70
seq37947	seq37947	100.000	35	35	35	1.000	1.000	1.339E-14	64
seq37979	seq37979	100.000	38	38	38	1.000	1.000	2.657E-16	70
seq38011	seq38011	100.000	30	30	30	1.000	1.000	9.214E-12	55
seq57181	seq57181	100.000	35	35	35	1.000	1.000	1.339E-14	64
seq57213	seq57213	100.000	35	35	35	1.000	1.000	1.339E-14	64
seq57245	seq57245	100.000	35	35	35	1.000	1.000	1.339E-14	64
seq57245	seq57246	100.000	35	35	35	1.000	1.000	1.339E-14	64
seq57277	seq57277	100.000	30	30	30	1.000	1.000	9.214E-12	55
seq57309	seq57309	100.000	38	38	38	1.000	1.000	2.657E-16	70
seq57341	seq57341	100.000	39	39	39	1.000	1.000	7.194E-17	71
seq57373	seq57373	100.000	30	30	30	1.000	1.000	9.214E-12	55
seq57405	seq57405	100.000	38	38	38	1.000	1.000	2.657E-16	70
seq57437	seq57437	100.000	35	35	35	1.000	1.000	1.339E-14	64
